createAt,id,accel_x,accel_y,accel_z,temperature,timestamp
2022-07-14 09:20:21,message_bc512d87-3b7d-4dc8-8ac1-81e4ee895d33,2.892922,11.46162,-1.071985,26.97706,1657790422713.0
2022-07-14 09:20:27,message_fdb7569f-4687-497d-b894-10b890db0b7c,2.924029,11.43769,-1.103091,26.88294,1657790427713.9998
2022-07-14 09:20:30,message_1b6fbb8a-1656-4493-ac13-96dad54f4d9a,2.919244,11.45205,-1.062413,27.02412,1657790432720.0
2022-07-14 09:20:36,message_8bc7b3ce-19d7-4d73-9f7b-96ab8869b6b4,2.897708,11.45444,-1.055235,26.93,1657790437718.0002
2022-07-14 09:20:42,message_f3c37422-cc03-4535-921e-9a9df45fa4a0,2.868994,11.49512,-1.064806,26.88294,1657790442712.0
2022-07-14 09:20:45,message_94c851c9-f9f8-4812-9a72-d6dcebe53be4,2.90728,11.48076,-1.06002,26.97706,1657790447719.0
2022-07-14 09:20:51,message_aa9c260f-f6f9-4497-9c97-263771ad381a,2.933601,11.49273,-1.038485,26.93,1657790452728.0
2022-07-14 09:20:57,message_5051c2f7-a152-4b78-90f3-9c99567d933e,2.849852,11.46641,-1.081556,26.93,1657790457745.0
2022-07-14 09:21:00,message_f9b60c49-c2bb-4b38-b9ff-5eaaed9baa85,2.940779,11.48316,-1.074377,26.88294,1657790462731.0
2022-07-14 09:21:06,message_c0ab3a74-4fe5-49d9-a619-93008364e3b0,2.842673,11.44966,-1.127019,27.02412,1657790467713.0
2022-07-14 09:21:12,message_edb012c8-8c2c-4313-b8ef-481872379506,2.933601,11.51905,-1.026521,26.88294,1657790472711.0
2022-07-14 09:21:15,message_9a26d984-1761-4ce3-aec1-4e79a41b019c,2.861816,11.45683,-1.18684,26.97706,1657790477726.0002
2022-07-14 09:21:21,message_b10ce7b6-45cd-43a5-9da1-cd598bd145ee,2.868994,11.44248,-0.997807,26.93,1657790482711.0
2022-07-14 09:21:27,message_d330a5d8-353e-4e34-a122-df1eef327ba0,2.845066,11.49512,-1.055235,26.97706,1657790487737.0
2022-07-14 09:21:30,message_f982564a-6c1f-4a54-b845-77ef28462d5a,2.89053,11.45205,-1.06002,27.02412,1657790492723.0
2022-07-14 09:21:39,message_52f1f952-9ed3-46fe-9e45-80c7c2c4d9ba,2.87378,11.47598,-1.06002,27.07117,1657790499021.0
2022-07-14 09:21:42,message_f71271db-269d-470b-9a23-f691152033d7,2.878566,11.4688,-1.081556,27.02412,1657790502705.9998
2022-07-14 09:21:45,message_f6c56a01-0f48-4abe-b6e3-2cb4ee9c7d08,2.880959,11.4018,-1.179662,27.02412,1657790507719.0
2022-07-14 09:21:51,message_d0f507ea-03e4-43c4-ba2b-e110e06d7180,2.909672,11.44008,-1.115055,27.07117,1657790512715.0
2022-07-14 09:21:57,message_8c241c65-29c7-436c-9617-a76266fde7ce,2.904887,11.49512,-0.990629,27.07117,1657790517729.9998
2022-07-14 09:22:00,message_e83c70ac-206e-43e2-92cc-3852ac13d0e2,2.85703,11.42573,-1.052842,27.02412,1657790522718.0002
2022-07-14 09:22:06,message_91d1bc93-aa12-4e06-bdc0-6ed2a9e192a2,2.900101,11.41376,-1.074377,27.07117,1657790527720.0
2022-07-14 09:22:12,message_f77dd366-579e-45fe-87c8-7843c6a3d607,2.878566,11.48316,-1.074377,27.07117,1657790532720.0
2022-07-14 09:22:15,message_c8c1591f-6712-4b20-85af-7f355c00ac3e,2.89053,11.50948,-1.067199,27.07117,1657790537724.0
2022-07-14 09:22:21,message_9974988c-7cce-43e2-80c1-0a4de41f92cd,2.861816,11.45683,-1.040878,27.16529,1657790542708.0
2022-07-14 09:22:27,message_3d1096fa-f6f2-43a2-bd46-50f2c0bb660e,2.943172,11.43291,-1.100698,27.11823,1657790547731.0
2022-07-14 09:22:30,message_9af0065c-b5a3-4759-98d1-4efc382a1451,2.909672,11.43051,-1.103091,27.07117,1657790552718.0002
2022-07-14 09:22:36,message_9b6615bd-4dbb-45de-b484-b57298045ab4,2.892922,11.42334,-1.09352,27.07117,1657790557713.9998
2022-07-14 09:22:42,message_6e733da8-89e9-4dbf-8446-172e1693f715,2.95035,11.44726,-1.024128,27.07117,1657790562719.0
2022-07-14 09:22:45,message_f1781199-9968-4991-a283-fc7e37cad4ea,2.864209,11.49751,-1.057628,27.07117,1657790567708.0
2022-07-14 09:22:51,message_fb2aedde-e14c-4fe7-a2af-64ed9cdd13b2,2.916851,11.47837,-1.100698,27.16529,1657790572704.0
2022-07-14 09:22:57,message_a90ee453-5c1e-412e-a267-ca55b14b0c49,2.940779,11.50708,-1.134198,27.16529,1657790577716.0
2022-07-14 09:23:00,message_9f4422e5-ebab-4182-94ef-522b09082970,2.89053,11.45205,-1.071985,27.16529,1657790582721.9998
2022-07-14 09:23:06,message_84f516c6-4f37-4b20-bcd4-ed1b1a1ec2a6,2.854637,11.41376,-1.081556,27.07117,1657790587724.0
2022-07-14 09:23:12,message_d9f7212f-558a-48f3-bd00-64f2233660bb,2.876173,11.49273,-0.985843,27.21235,1657790592723.0
2022-07-14 09:23:15,message_e858037e-3446-4341-b9f6-b49f8113c1df,2.87378,11.4999,-1.026521,27.16529,1657790597726.0002
2022-07-14 09:23:21,message_676f877c-091c-479f-9019-e7cef0dfdf6b,2.924029,11.41616,-1.074377,27.16529,1657790602721.9998
2022-07-14 09:23:27,message_6323f650-a13a-4e6f-8558-7153933c9bae,2.880959,11.45205,-1.124627,27.07117,1657790608835.0
2022-07-14 09:23:30,message_d00f44cc-fae9-4800-ab76-daf08c9d6510,2.933601,11.45923,-1.141376,27.11823,1657790612719.0
2022-07-14 09:23:36,message_e35ed95e-0612-46c1-a84a-74ae4f399230,2.892922,11.44966,-1.07677,27.07117,1657790617729.0
2022-07-14 09:23:42,message_7395af4a-f7b5-4b3f-bab5-323de782dcc6,2.928815,11.46401,-1.172483,27.07117,1657790622721.9998
2022-07-14 09:23:45,message_33af51be-f507-43f4-8dd1-fa5d5e66c964,2.916851,11.42573,-1.055235,27.07117,1657790627712.0
2022-07-14 09:23:51,message_e6fe476e-dcc3-45ab-aa17-0d040f3fe85a,2.878566,11.52144,-1.112663,27.16529,1657790632716.0
2022-07-14 09:23:57,message_d54b499a-c5ed-4cb9-9fde-3cf8ba114988,2.962314,11.45683,-1.112663,27.25941,1657790637723.0
2022-07-14 09:24:00,message_b822934a-953d-4ebc-ba03-a75d3325a77f,2.868994,11.42812,-1.028914,27.11823,1657790642727.0
2022-07-14 09:24:06,message_24301de4-44d4-49be-ba13-e807a9c4ce2d,2.87378,11.49751,-1.064806,27.25941,1657790647733.0
2022-07-14 09:24:12,message_82a97822-c0fa-4ea7-bf62-c67393b1f288,2.979064,11.47358,-1.112663,27.16529,1657790652728.0
2022-07-14 09:24:15,message_729f0d0c-580a-4a6e-aa2a-2b052395f525,2.885744,11.46162,-1.06002,27.11823,1657790657718.0002
2022-07-14 09:24:21,message_84effb11-9b2b-4025-ad48-f82be66ebbe5,2.904887,11.45205,-1.105484,27.21235,1657790662734.0002
2022-07-14 09:24:27,message_f67a7aec-e6f3-491a-b716-ec5ba088cd7a,2.892922,11.51426,-1.028914,27.07117,1657790667719.0
2022-07-14 09:24:30,message_e07543e3-6670-4706-8348-0a89516db127,2.866601,11.42334,-1.002593,27.16529,1657790672731.0
2022-07-14 09:24:36,message_595f0b19-c110-4efd-ad1b-261a05658010,2.916851,11.48076,-1.150948,27.16529,1657790677729.0
2022-07-14 09:24:42,message_f3bc4194-0ef4-4a12-aac9-66541d5c1124,2.935993,11.42094,-1.172483,27.11823,1657790682721.0
2022-07-14 09:24:45,message_99c302bf-3843-4102-b449-8b786528bf51,2.945565,11.42573,-1.074377,27.11823,1657790687720.0
2022-07-14 09:24:51,message_31889bd1-42a4-49aa-92c3-a7fd9633ed49,2.90728,11.43051,-1.069592,27.16529,1657790692736.0
2022-07-14 09:24:57,message_c9f20998-8eb1-42fe-9d81-8bc7e060c8df,2.916851,11.45444,-1.028914,27.21235,1657790697726.0002
2022-07-14 09:25:00,message_f0a0a6b7-206f-4c23-a57c-47d98742e823,2.916851,11.44248,-1.071985,27.11823,1657790702721.9998
2022-07-14 09:25:06,message_df6ba700-820c-4271-bfc9-da5471b5ef54,2.945565,11.47837,-1.131805,27.21235,1657790707724.0
2022-07-14 09:25:12,message_53fedd44-b0dd-46e1-919a-ede3f093d91e,2.845066,11.41376,-1.07677,27.21235,1657790712732.0
2022-07-14 09:25:15,message_b9fbe920-878d-490f-b7c9-05c536b2bfe1,2.888137,11.47358,-1.105484,27.21235,1657790717728.0
2022-07-14 09:25:21,message_066a2896-c4ce-4764-96d9-f2c094f8313a,2.878566,11.46401,-1.105484,27.21235,1657790722717.0
2022-07-14 09:25:27,message_e8fb774a-9494-4ff5-b518-d0d0732caefc,2.904887,11.43051,-1.028914,27.21235,1657790727719.0
